ttrcheck_description,ttcheck_remark_service,ttcheck_device_service,ttcheck_brand_service,ttcheck_series_service
"Kabel power monitor longgar/adaptor rusak, ganti adaptor normal",Monitor mati total tidak ada lampu,PC,Dell,OptiPlex 5070
Printer epson L3210 Sn.XAGK164302 kendala print head tidak bergerak Unit milik Bank Mandiri puri indah mall,Rusak Ink pad nya tidak jalan,PT,Epson l3210,L3210
engsel aus layar tidak stabil,engsel aus membuat layar mudah turun dan tidak bisa menahan posisi,NB,SAMSUNG,Galaxy Book
-Hp deskjet2135 sn:CN9BA483S5 error printing -dilakukan pengecekan di bagian catridge ok -dilakukan pengecekan driver printer  terjadi error -dilakukan Add printer ulang printer  sudah normal kembali,Error printing,PT,HP,DeskJet 2135
"Sudah dilakukan pergantian pasta unit tetap lemot, sudah diinstal ulang bios tetap tidak bisa di update.",setelah install ulang tidak mau diupdate firmware dan driver kamera tidak terinstall. boleh minta tolong diinstall ulang lagi sampai driver kamera dan update firmware,NB,lenovo,thinkpad x1 yoga
"Konektor SATA longgar, setelah re-seat storage stabil",Kadang HDD hilang dari Windows,NB,ASUS,VivoBook 15
Rusak pada head printernya (Dummy),Dummy,PT,Epson,Ls 3000
Ada sparepart yang rusak dimainboard,Dummy Data,NB,Acer,Predator
Selesai install anti virus. Type laptop Lenovo V14 SN: PF31AXPN,install antivirus,NB,HP,HP 14s
"Sudah dilakukan reset software, dan dilakukan pengecekan ternyata ada kertas nyangkut dan laper klip, dilakukan manual influsing dan cleaning head pada software, unit sudah bisa digunakan kembali, ""Reset ulang","2 lampu indikator (tinta dan kertas) menyala""",PT,EPSON,L3110
"Tuts spasi keyboard tidak bisa dipakai meski sudah dibersihkan. Wi-Fi susah terhubung, kadang hang saat area bawah laptop ketekan.","Cek tombol spasi, reinstall driver, cek Wi-Fi & kemungkinan short/tekanan bawah.",NB,Acer,Swift 3 SF314
"Webcam/area bezel menekan panel, terdapat pressure mark; panel perlu ganti",Ada bercak hitam seperti tertekan di sudut layar,NB,Dell,Vostro 3400
power supply rusak,PC tidak menyala dan tidak ada respon saat tombol power ditekan,PC,PC RAKITAN,PC Rakitan
Unit sering mati sendiri dikarenakan overheat dan setelah dilakukan pengecekan cleaning dan pergantian pasta unit kembali normal dan juga dilakukan update driver dan bios,Pembersihan kipas dan repaste,NB,Asus,M409DA-EK511T
SSD SATA berhasil di-upgrade,migrasi OS & data; instal antivirus serta pengecekan akhir,NB,TOSHIBA,DYNABOOK TECRA
"RAM tidak terpasang sempurna, setelah reseat muncul tampilan",Layar kosong setelah dibersihkan/upgrade,PC,Acer,Veriton X
"IC charging bermasalah, arus pengisian tidak masuk normal",Sudah ganti charger tapi tetap tidak charging,NB,HP,Pavilion 15
"Dudukan engsel longgar akibat drop, perlu perbaikan frame","Habis jatuh, layar jadi tidak presisi saat ditutup",NB,Lenovo,ThinkPad E14
"Keyboard numpad tidak fungsi karena NumLock/setting regional, dinormalkan",Numpad tidak jalan untuk input angka,PC,HP,ProDesk 400 G6
Cleaning dan ganti pasta,laptop lemot tidak pernah clean up sepertiny,NB,acer,tidak tau serinya
Motherboard terbakar,Dummy Data,PC,Asus,ROG
"SSD sudah end-of-life (SMART life low), rekomendasi ganti segera",Sering blue screen saat akses file,PC,Lenovo,ThinkCentre M70s
"Bootloader rusak, dilakukan perbaikan boot dan cek disk",Muncul tulisan No bootable device,NB,Acer,Swift 3
"Dibersihin dan sudah update, tapi tuts spasi tetap nggak bisa. Laptop susah konek ke Wi-Fi, kadang nge-hang kalau bagian bawah laptop keteken. NB: keluhan keyboard spasi.","Cek keyboard (spacebar), cek koneksi Wi-Fi, cek indikasi hang saat casing bawah tertekan.",NB,HP,EliteBook 840 G5
"Kabel HDMI bermasalah, setelah ganti kabel normal",Monitor kadang no signal padahal PC nyala,PC,Dell,OptiPlex 5070
"Retak pada palmrest dekat engsel, perlu penggantian casing",Area dekat engsel pecah dan makin melebar,NB,Lenovo,IdeaPad 5
unit tidak bisa power on,tidak ada respon saat tombol power ditekan,PC,ASUS,ExpertCenter
"BIOS primary display salah, reset CMOS memperbaiki",Tidak tampil setelah ubah setting BIOS,PC,HP,EliteDesk 800 G3
"Dilakukan cleaning fleksibel keyboard, update driver keyboard ttp saja msh blm bisa berfungsi sebagian. Kemungkinan kerusakan pada keyboardnya",Tombol keybaord ada beberapa yang tidak berfungsi,PC,Lenovo,PF343188
engsel patah akibat tekanan di layar,engsel patah setelah layar tertekan dan kini tidak bisa ditutup rapat,NB,TOSHIBA,Dynabook
"Pasta thermal sudah tidak merata, repaste + bersihkan debu",Laptop terasa panas di area keyboard,NB,Lenovo,ThinkPad E14
SSD SATA sudah diganti dan migrasi selesai,backup & restore data; instal ulang OS beserta antivirus,NB,ACER,SWIFT 3
Telah dilakukan buang daya laptop kembali bisa di charge,Tidak bisa charging. Sudah dicoba dengan charger lain masih belum charging.,NB,Lenovo,Thinkpad L13
